#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,fixingDate,fixingValue
Swap_20y,Swap,27,1,2029-09-03,InterestProjected,-101328.4881,EUR,0.0196119654,0.5166666667,2029-02-27,0.0196119654
Swap_20y,Swap,28,1,2030-03-01,InterestProjected,-97496.5218,EUR,0.0196082390,0.4972222222,2029-08-30,0.0196098359
Swap_20y,Swap,29,1,2030-09-02,InterestProjected,-100780.9753,EUR,0.0196114330,0.5138888889,2030-02-27,0.0196114330
Swap_20y,Swap,30,1,2031-03-03,InterestProjected,-99142.8710,EUR,0.0196106778,0.5055555556,2030-08-29,0.0196106778
Swap_20y,Swap,31,1,2031-09-01,InterestProjected,-99175.4996,EUR,0.0196171318,0.5055555556,2031-02-27,0.0196181973
Swap_20y,Swap,32,1,2032-03-01,InterestProjected,-99175.4996,EUR,0.0196171318,0.5055555556,2031-08-28,0.0196171318
Swap_20y,Swap,33,1,2032-09-01,InterestProjected,-100270.7862,EUR,0.0196181973,0.5111111111,2032-02-26,0.0196181973
Swap_20y,Swap,34,1,2033-03-01,InterestProjected,-98627.9009,EUR,0.0196165991,0.5027777778,2032-08-30,0.0196165991
Swap_20y,Swap,35,1,2033-09-01,InterestProjected,-100270.7862,EUR,0.0196181973,0.5111111111,2033-02-25,0.0196181973
Swap_20y,Swap,36,1,2034-03-01,InterestProjected,-98627.9009,EUR,0.0196165991,0.5027777778,2033-08-30,0.0196165991
Swap_20y,Swap,37,1,2034-09-01,InterestProjected,-100270.7862,EUR,0.0196181973,0.5111111111,2034-02-27,0.0196181973
Swap_20y,Swap,38,1,2035-03-01,InterestProjected,-98627.9009,EUR,0.0196165991,0.5027777778,2034-08-30,0.0196165991
Swap_20y,Swap,39,1,2035-09-03,InterestProjected,-101366.1915,EUR,0.0196192629,0.5166666667,2035-02-27,0.0196192629
Swap_20y,Swap,40,1,2036-03-03,InterestProjected,-99169.2938,EUR,0.0196159043,0.5055555556,2035-08-30,0.0196159043
